epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.28872257367061016,0.9011844331641286,0.18735456094145775,0.9458333333333333
1,0.12269500656522124,0.9590524534686972,0.14458393709113201,0.95
2,0.0901458158206617,0.9699782451051486,0.1253669485449791,0.9666666666666667
3,0.0727221860793699,0.9755378293449359,0.1266609818364183,0.9625
4,0.0642212058848717,0.9796470872613005,0.11754372793560226,0.9625
5,0.04297707743018844,0.9864152767706067,0.1382511571670572,0.9583333333333334
6,0.04194074113940397,0.9861252115059221,0.13236489271124205,0.9666666666666667
7,0.034837550174914064,0.9891225525743292,0.14822424172113338,0.9625
8,0.028194273105181585,0.9915881073241479,0.16033499905218682,0.95
9,0.025700280951335575,0.9919265167996133,0.10908064339309931,0.9458333333333333
10,0.022213841930195214,0.9929900894367899,0.1209662367279331,0.9583333333333334
11,0.017896329642246245,0.9950205462895818,0.1488889658357948,0.95
12,0.019755369033741005,0.9936185641769398,0.17068547600259384,0.9541666666666667
13,0.017910936875469175,0.9942470389170897,0.16835296833111593,0.9625
14,0.012219421423234159,0.9966159052453468,0.1536796107199431,0.9541666666666667
15,0.01402230712040135,0.9953589557650472,0.12298670508122693,0.9625
16,0.011512091398854389,0.9967125936669083,0.13021988840773702,0.9541666666666667
17,0.01190383752759799,0.995987430505197,0.22374441468855366,0.9541666666666667
18,0.011161947747319217,0.9965675610345661,0.1403852132304261,0.9583333333333334
19,0.011198723993815909,0.9962291515591007,0.15869119546065727,0.95
20,0.008453013154400923,0.9975344452501813,0.1768014255600671,0.9625
21,0.010465733734066878,0.9967125936669083,0.18627406874050698,0.9625
22,0.008886485277566584,0.9973410684070583,0.13750142992163697,0.9708333333333333
23,0.009949177203430139,0.9969059705100314,0.10975389908223103,0.975
24,0.009337708565277282,0.9970026589315929,0.13712557948504886,0.9625
